WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
,,,,  ,,40388663,20490,Sold,Delivered
,,,,  ,,40669545,724,Sold,Delivered
Honda,Ridgeline,,2021,2021 Honda Ridgeline,,40895874,762,Lost,Lead process completed
,,,,  ,,36654529,48,Active,Unqualified
Toyota,RAV4,Hybrid XSE AWD (Natl),2020,2020 Toyota RAV4,,40845386,58,Active,Sold
MINI,Paceman,S ALL4,2013,2013 MINI Paceman,,36030935,230,Lost,Lead process completed
,,,,  ,,35881263,48,Active,Up/Contacted
Volkswagen,Passat,2.0T R-Line,2021,2021 Volkswagen Passat,,41830533,241,Sold,Delivered
Honda,Passport,Sport,2021,2021 Honda Passport,,36197009,20250,Sold,Delivered
Honda,Passport,Sport,2021,2021 Honda Passport,,36075247,20250,Sold,Delivered
Porsche,Macan,GTS AWD,2021,2021 Porsche Macan,,36846868,184,Active,Sold
Hyundai,Santa Fe,Limited 2.0T Auto AWD,2020,2020 Hyundai Santa Fe,,36538808,48,Active,Demo Vehicle
Hyundai,Santa Fe,Limited 2.0T Auto AWD,2020,2020 Hyundai Santa Fe,,35184291,48,Active,Demo Vehicle
,,,,  ,,35600463,20490,Sold,Delivered
Honda,Pilot,,, Honda Pilot,,35728083,20350,Sold,Delivered
,,,,  ,,34566236,20250,Active,Active Lead
Honda,Civic,LX,2017,2017 Honda Civic,,36182421,20250,Sold,Delivered
Honda,Civic,LX,2017,2017 Honda Civic,,36356246,20250,Sold,Delivered
,,,,  ,,35851869,20350,Sold,Delivered
Scion,tC,2dr HB Man (Natl),2013,2013 Scion tC,,41123106,58,Active,Sold
Acura,RDX,w/A-Spec Pkg,2021,2021 Acura RDX,,36458801,763,Sold,Delivered
Ram,1500,Express,2016,2016 Ram 1500,,39195815,339,Sold,Delivered
Honda,HR-V,Sport,2020,2020 Honda HR-V,,36352531,762,Sold,Delivered
Honda,CR-V,EX,2020,2020 Honda CR-V,,36047916,20250,Sold,Delivered
,,,,  ,,35682536,762,Lost,Lead process completed
,,,,  ,,35692219,20350,Sold,Delivered
Honda,Passport,EX-L,2021,2021 Honda Passport,,35845346,20250,Sold,Delivered
Toyota,Tacoma,,2020,2020 Toyota Tacoma,,34410858,6,Sold,Delivered
,,,,  ,,41233251,6,Active,Active Lead
Mazda,CX-3,Touring,2019,2019 Mazda CX-3,,35194235,20250,Active,Active Lead
Honda,Civic,Sport,2018,2018 Honda Civic,,36309475,20250,Sold,Delivered
,,,,  ,,34923183,751,Sold,Delivered
Nissan,Pathfinder,Platinum,2018,2018 Nissan Pathfinder,,35699458,241,Sold,Delivered
TOYOTA,Prius Prime,,2020,2020 TOYOTA Prius Prime,,41694250,58,Active,Sold
,,,,  ,,35563283,20490,Sold,Delivered
,,,,  ,,40628798,724,Sold,Delivered
Hyundai,Tucson,AWD 4dr SE,2015,2015 Hyundai Tucson,,35928628,48,Active,Up/Contacted
Jeep,Cherokee,Latitude Lux,2021,2021 Jeep Cherokee,,36268615,339,Lost,Lead process completed
Jeep,Compass,Limited,2021,2021 Jeep Compass,,36517547,339,Active,Active Lead
Toyota,Venza,XLE,2021,2021 Toyota Venza,,36096712,6,Bad,Dealer test lead
,,,,  ,,40861719,58,Active,Demo Vehicle
,,,,  ,,35759821,751,Sold,Delivered
TOYOTA,HIGHLANDER,,2017,2017 TOYOTA HIGHLANDER,,37154179,58,Active,Sold
Hyundai,Any/All,,, Hyundai Any/All,,36051163,48,Active,Unqualified
Honda,Civic,LX,2018,2018 Honda Civic,,37638486,762,Sold,Delivered
Honda,Accord Sdn,EX,2008,2008 Honda Accord Sdn,,36375457,762,Sold,Delivered
Subaru,Forester,,2018,2018 Subaru Forester,,40687570,739,Lost,Out of market
Subaru,Forester,,2018,2018 Subaru Forester,,36057072,20739,Lost,Out of market
Mercedes-Benz,GLC 300,GLC 300,2021,2021 Mercedes-Benz GLC 300,,36597496,230,Active,Active Lead
Toyota,4Runner,,2017,2017 Toyota 4Runner,,41735188,6,Sold,Delivered
,,,,  ,,40543419,327,Sold,Delivered
Volkswagen,Jetta,S,2021,2021 Volkswagen Jetta,,40756518,241,Sold,Delivered
,,,,  ,,36002553,327,Sold,Delivered
Acura,RDX,BASE,2013,2013 Acura RDX,,36286295,762,Active,Active Lead
,,,,  ,,40770069,58,Active,Lost
Honda,Civic,EX,2017,2017 Honda Civic,,36325614,20250,Lost,Lead process completed
Honda,Accord,Sport,2020,2020 Honda Accord,,34865646,762,Sold,Delivered
Ford,F-150,LARI,2016,2016 Ford F-150,,36250347,241,Sold,Delivered
Mercedes-Benz,GLC 300,GLC 300,2020,2020 Mercedes-Benz GLC 300,,36557068,230,Active,Active Lead
,,,,  ,,41768141,20200,Sold,Delivered
TOYOTA,Highlander Hybrid,,2021,2021 TOYOTA Highlander Hybrid,,41349355,58,Active,Sold
,,,,  ,,41344043,58,Active,Write Up
Mercedes-Benz,GLE,GLE 350,2021,2021 Mercedes-Benz GLE,,39171856,766,Active,Active Lead
,,,,  ,,39164937,766,Active,Active Lead
Hyundai,Elantra,Value Edition IVT,2020,2020 Hyundai Elantra,,40444602,48,Active,Sold
Honda,CR-V,EX-L,2020,2020 Honda CR-V,,36229424,762,Sold,Delivered
,,,,  ,,39038776,48,Active,Unqualified
,,,,  ,,36227815,48,Active,Lost
Toyota,Camry,,2019,2019 Toyota Camry,,39094162,762,Bad,Duplicate lead
Alfa Romeo,4C Coupe,Coupe,2018,2018 Alfa Romeo 4C Coupe,,39068733,184,Active,Sold
Alfa Romeo,4C Coupe,Coupe,2018,2018 Alfa Romeo 4C Coupe,,40452428,184,Active,Sold
Honda,HR-V,,2018,2018 Honda HR-V,,36219669,20250,Bad,Duplicate lead
Honda,Accord,EX-L 1.5T,2020,2020 Honda Accord,,36412017,20250,Sold,Delivered
TOYOTA,4RUNNER,,2019,2019 TOYOTA 4RUNNER,,36397741,48,Active,Sold
,,,,  ,,39158346,58,Active,Lost
Honda,Passport,Elite (4dr AWD),2021,2021 Honda Passport,,36183574,20250,Sold,Delivered
Honda,CR-V Hybrid,Touring,2020,2020 Honda CR-V Hybrid,,36411484,20250,Active,Active Lead
Honda,CR-V Hybrid,Touring,2020,2020 Honda CR-V Hybrid,,36462286,20250,Sold,Delivered
Honda,Civic,LX,2017,2017 Honda Civic,,36569970,762,Sold,Delivered
Nissan,Sentra,,, Nissan Sentra,,35734182,259,Sold,Delivered
BMW,530i,530i xDrive,2021,2021 BMW 530i,,34613704,20330,Active,Active Lead
TOYOTA,Highlander Hybrid,,2020,2020 TOYOTA Highlander Hybrid,,39185817,58,Active,Sold
Honda,HR-V,EX,2021,2021 Honda HR-V,,36374351,20250,Sold,Delivered
,,,,  ,,35738848,20250,Lost,Lead process completed
,,,,  ,,36434118,48,Active,Unqualified
,,,,  ,,35868229,48,Active,Unqualified
Buick,Enclave,Leather,2013,2013 Buick Enclave,,36209648,762,Lost,Lead process completed
Lexus,NX,NX Turbo F Sport,2017,2017 Lexus NX,,36285910,20250,Sold,Delivered
JEEP,PATRIOT,FWD 4dr Latitude,2014,2014 JEEP PATRIOT,,36415479,48,Active,Sold
Toyota,Highlander,Hybrid XLE AWD (Natl),2021,2021 Toyota Highlander,,37373979,58,Active,Sold
Subaru,Outback,4dr Wgn 2.5i Premium PZEV,2015,2015 Subaru Outback,,41550464,58,Active,Sold
Honda,HR-V,LX,2021,2021 Honda HR-V,,36138267,20250,Sold,Delivered
Honda,HR-V,LX,2021,2021 Honda HR-V,,36324404,20250,Sold,Delivered
Toyota,Tacoma 4WD,TRD Off Road Double Cab 6' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,39105524,58,Active,Sold
Toyota,Tacoma 4WD,TRD Off Road Double Cab 6' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,39116764,58,Active,Sold
,,,,  ,,36048467,230,Active,Active Lead
Audi,Q5,2.0 TFSI Premium Plus,2018,2018 Audi Q5,,35009655,48,Active,Lost
Chevrolet,Silverado 1500,LT,2017,2017 Chevrolet Silverado 1500,,36176589,762,Sold,Delivered
Honda,Pilot,EX-L,2021,2021 Honda Pilot,,36723363,762,Sold,Delivered
Mercedes-Benz,S 560,S 560,2020,2020 Mercedes-Benz S 560,,36539625,230,Active,Active Lead
TOYOTA,4RUNNER,,2021,2021 TOYOTA 4RUNNER,,39053004,58,Active,Sold
,,,,  ,,36033529,48,Active,Unqualified
Kia,Sportage,LX,2018,2018 Kia Sportage,,34697133,762,Sold,Delivered
Subaru,Outback,2.5i Limited,2018,2018 Subaru Outback,,39077402,58,Active,Demo Vehicle
,,,,  ,,35716445,48,Active,Unqualified
Honda,Passport,Touring,2020,2020 Honda Passport,,36089953,762,Lost,Lead process completed
Kia,Soul,,, Kia Soul,,36219177,20490,Sold,Delivered
Ferrari,575M Maranello,2dr Cpe F1,2002,2002 Ferrari 575M Maranello,,39061379,184,Active,Sold
Honda,CR-V,EX,2021,2021 Honda CR-V,,35987142,762,Sold,Delivered
Honda,CR-V,EX,2021,2021 Honda CR-V,,39179339,762,Sold,Delivered
Honda,CR-V,EX-L,2020,2020 Honda CR-V,,36298301,762,Active,Active Lead
Honda,Passport,EX-L,2021,2021 Honda Passport,,34973363,762,Sold,Delivered
Honda,CR-V,EX,2017,2017 Honda CR-V,,36755163,762,Sold,Delivered
Toyota,Tacoma,TRD Sport Double Cab 6' Bed V6 4x4 AT (Natl),2017,2017 Toyota Tacoma,,37226315,58,Active,Lost
Honda,Civic Sedan,EX,2018,2018 Honda Civic Sedan,,35910268,20250,Sold,Delivered
Honda,HR-V,EX,2018,2018 Honda HR-V,,36175480,20250,Sold,Delivered
Toyota,Camry,LE,2021,2021 Toyota Camry,,41003801,6,Lost,Purchased same brand different dealer
Honda,HR-V,,2020,2020 Honda HR-V,,35976293,20250,Lost,Lead process completed
Honda,Civic,,, Honda Civic,,36080522,20350,Sold,Delivered
Jeep,Compass,Sport,2021,2021 Jeep Compass,,36738684,339,Lost,Lead process completed
Chevrolet,Malibu,LT,2018,2018 Chevrolet Malibu,,36307250,20250,Sold,Delivered
TOYOTA,RAV4 Prime,,2021,2021 TOYOTA RAV4 Prime,,40790787,58,Active,Sold
Toyota,Camry Hybrid,XSE (4dr Sedan),2021,2021 Toyota Camry Hybrid,,40653446,717,Lost,Lead process completed
Honda,CR-V,EX-L,2020,2020 Honda CR-V,,36365290,762,Sold,Delivered
Honda,CR-V,EX,2020,2020 Honda CR-V,,36571181,762,Sold,Delivered
,,,,  ,,41751842,58,Active,Up/Contacted
,,,,  ,,41681597,58,Active,Store Visit
Hyundai,Palisade,Calligraphy AWD,2021,2021 Hyundai Palisade,,36438391,48,Active,Up/Contacted
Mazda,Mazda3,,2016,2016 Mazda Mazda3,,36038989,20250,Sold,Delivered
Mazda,Mazda3,,2016,2016 Mazda Mazda3,,34922525,20250,Sold,Delivered
Toyota,Camry,SE Automatic (Natl),2017,2017 Toyota Camry,,40801300,58,Active,Sold
Toyota,Tacoma,TRD Sport Double Cab 6' Bed V6 4x4 AT (Natl),2017,2017 Toyota Tacoma,,39203682,58,Active,Sold
Honda,HR-V,LX,2021,2021 Honda HR-V,,36331607,20250,Sold,Pending Finance
,,,,  ,,35699772,230,Active,Active Lead
Hyundai,Sonata,2.4L,2017,2017 Hyundai Sonata,,36243845,20250,Sold,Delivered
,,,,  ,,36087218,20490,Sold,Delivered
Honda,CR-V,EX,2017,2017 Honda CR-V,,36238670,762,Sold,Delivered
,,,,  ,,40987969,766,Sold,Delivered
Acura,RDX,w/Technology Pkg,2021,2021 Acura RDX,,36500942,763,Active,Active Lead
Honda,Odyssey,EX-L,2022,2022 Honda Odyssey,,36397178,20250,Sold,Delivered
Honda,Civic,Sport,2021,2021 Honda Civic,,36231222,20250,Sold,Delivered
Honda,Civic,Sport,2021,2021 Honda Civic,,36087790,20250,Sold,Delivered
,,,,  ,,40638914,724,Sold,Delivered
,,,,  ,,35979336,20490,Sold,Delivered
Toyota,Camry,SE,2019,2019 Toyota Camry,,36145825,20250,Sold,Delivered
Honda,Ridgeline,,2021,2021 Honda Ridgeline,,35963583,20250,Lost,Lead process completed
TOYOTA,AVALON,Limited (Natl),2020,2020 TOYOTA AVALON,,39049507,58,Active,Sold
Toyota,4Runner,,2021,2021 Toyota 4Runner,,39199479,58,Active,Write Up
Toyota,4Runner,,2021,2021 Toyota 4Runner,,39161728,58,Active,Lost
Toyota,RAV4,,2011,2011 Toyota RAV4,,39214717,762,Lost,Lead process completed
Acura,RDX,AWD,2018,2018 Acura RDX,,34280169,20200,Sold,Delivered
Acura,RDX,AWD,2018,2018 Acura RDX,,36454407,20200,Sold,Delivered
Honda,CR-V,,2021,2021 Honda CR-V,,35953433,20250,Sold,Delivered
Honda,CR-V,,2021,2021 Honda CR-V,,36171587,20250,Sold,Delivered
,,,,  ,,41238943,6,Lost,Requested no further contact
Volkswagen,Passat,1.8T SE Auto,2017,2017 Volkswagen Passat,,39172443,48,Active,Lost
,,,,  ,,34266474,751,Sold,Delivered
Mercedes-Benz,GLE 450,,2021,2021 Mercedes-Benz GLE 450,,35496690,230,Sold,Delivered
Honda,Civic Sdn,EX,2013,2013 Honda Civic Sdn,,36168246,20250,Sold,Delivered
Mercedes-Benz,AMG GLE 43,SUV,2018,2018 Mercedes-Benz AMG GLE 43,,36542907,230,Active,Active Lead
,,,,  ,,36130972,48,Active,Up/Contacted
Jeep,Grand Cherokee,Limited,2017,2017 Jeep Grand Cherokee,,36527984,339,Lost,Lead process completed
Toyota,Tacoma,TRD Sport,2021,2021 Toyota Tacoma,,36452723,6,Sold,Delivered
,,,,  ,,39041410,48,Active,Unqualified
Jeep,Cherokee,Trailhawk,2021,2021 Jeep Cherokee,,36296198,339,Lost,Lead process completed
Volkswagen,Tiguan,2.0T S,2020,2020 Volkswagen Tiguan,,36035340,241,Sold,Delivered
Mercedes-Benz,GLS 450,,2021,2021 Mercedes-Benz GLS 450,,36153717,230,Sold,Delivered
Porsche,911,2dr Cpe Carrera 4S,2009,2009 Porsche 911,,36849806,184,Active,Unqualified
Toyota,Corolla,LE,2018,2018 Toyota Corolla,,36162434,20250,Sold,Delivered
,,,,  ,,40667027,717,Bad,No intent to buy
,,,,  ,,36120250,48,Active,Unqualified
,,,,  ,,35992116,20350,Sold,Delivered
Honda,Passport,EX-L,2021,2021 Honda Passport,,36483530,20250,Sold,Delivered
Honda,Passport,EX-L,2021,2021 Honda Passport,,34586957,20250,Sold,Delivered
,,,,  ,,36021421,20350,Sold,Delivered
Honda,Civic,EX,2019,2019 Honda Civic,,36099962,762,Sold,Delivered
Honda,CR-V,EX,2018,2018 Honda CR-V,,36216802,762,Sold,Delivered
,,,,  ,,39289126,301,Bad,Duplicate lead
Toyota,Prius Prime,XLE (Natl),2021,2021 Toyota Prius Prime,,40983229,58,Active,Sold
Toyota,Prius Prime,XLE (Natl),2021,2021 Toyota Prius Prime,,40925966,58,Active,Sold
Honda,CR-V,EX-L,2007,2007 Honda CR-V,,36685990,762,Bad,Duplicate lead
Honda,CR-V,EX,2019,2019 Honda CR-V,,36082479,20250,Sold,Delivered
Honda,CR-V,EX,2019,2019 Honda CR-V,,36023668,20250,Sold,Delivered
FIAT,500e,BTRYELEC,2017,2017 FIAT 500e,,36323590,241,Sold,Delivered
,,,,  ,,41652416,58,Active,Write Up
Toyota,C-HR,XLE,2020,2020 Toyota C-HR,,36381435,20250,Sold,Delivered
Mercedes-Benz,E-Class,AMG E 63 S 4MATIC+ Wagon,2020,2020 Mercedes-Benz E-Class,,41681594,184,Active,Lost
,,,,  ,,35738258,20490,Sold,Delivered
,,,,  ,,40658810,724,Sold,Delivered
Toyota,Highlander Hybrid,Hybrid Platinum,2021,2021 Toyota Highlander Hybrid,,36400509,6,Lost,Working with other salesperson
Chevrolet,Silverado 1500,"4WD Ext Cab 143.5"" LTZ",2010,2010 Chevrolet Silverado 1500,,39193680,58,Active,Lost
Honda,Ridgeline,Black Edition,2021,2021 Honda Ridgeline,,36911676,762,Lost,Lead process completed
,,,,  ,,36023192,6,Active,Active Lead
Honda,Civic,EX-T,2018,2018 Honda Civic,,36445376,762,Sold,Delivered
PORSCHE,CAYENNE,,2021,2021 PORSCHE CAYENNE,,39050647,184,Active,Write Up
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,39073598,184,Active,Sold
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,40447469,184,Active,Sold
Honda,Accord Sedan,EX,2016,2016 Honda Accord Sedan,,39151177,762,Sold,Delivered
Honda,Accord Sedan,EX,2016,2016 Honda Accord Sedan,,36163283,762,Sold,Delivered
,,,,  ,,37574356,20490,Sold,Delivered
,,,,  ,,36111787,20490,Sold,Delivered
,,,,  ,,35835250,20490,Sold,Delivered
TOYOTA,TACOMA,,2021,2021 TOYOTA TACOMA,,41105141,58,Active,Sold
Honda,Pilot,Black Edition,2021,2021 Honda Pilot,,36304769,20250,Sold,Delivered
Honda,CR-V,EX-L,2013,2013 Honda CR-V,,36221473,762,Active,Active Lead
RAM,ProMaster 2500,High Roof,2017,2017 RAM ProMaster 2500,,39045775,241,Lost,Lead process completed
Toyota,Prius Prime,Plus (Natl),2017,2017 Toyota Prius Prime,,39087886,58,Active,Pending F&I
,,,,  ,,37206616,20271,Bad,No intent to buy
Honda,Civic Sedan,EX,2018,2018 Honda Civic Sedan,,36217508,20250,Sold,Delivered
Honda,,,2021,2021 Honda ,,36305282,20250,Sold,Delivered
Honda,,,2021,2021 Honda ,,35741712,20250,Sold,Delivered
Hyundai,Palisade,Calligraphy AWD,2021,2021 Hyundai Palisade,,36205757,48,Active,Lost
,,,,  ,,39146542,48,Active,Lost
,,,,  ,,35727840,751,Sold,Delivered
Porsche,Taycan,RWD,2021,2021 Porsche Taycan,,39104384,184,Active,Sold
,,,,  ,,35749843,48,Active,Unqualified
,,,,  ,,35871712,48,Active,Unqualified
,,,,  ,,39066733,48,Active,Unqualified
,,,,  ,,41005687,6,Lost,Purchased same brand different dealer
,,,,  ,,35400464,20250,Active,Active Lead
,,,,  ,,36841924,48,Active,Unqualified
Nissan,Armada,SL,2019,2019 Nissan Armada,,36286504,20250,Sold,Delivered
,,,,  ,,34400253,751,Sold,Delivered
,,,,  ,,36179579,20490,Sold,Delivered
,,,,  ,,40662526,717,Bad,Duplicate lead
Honda,CR-V,EX,2020,2020 Honda CR-V,,36392028,748,Sold,Delivered
,,,,  ,,41384767,766,Bad,Duplicate lead
Honda,Civic Sedan,Sport,2021,2021 Honda Civic Sedan,,36553096,762,Sold,Delivered
Toyota,Tacoma,,2021,2021 Toyota Tacoma,,40384048,58,Active,Lost
,,,,  ,,35462446,755,Bad,Dealer test lead
Honda,CR-V,EX-L,2021,2021 Honda CR-V,,35113569,20250,Sold,Delivered
Toyota,Tacoma 4WD,TRD Sport Double Cab 5' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,37170080,58,Active,Sold
BMW,X3,,2021,2021 BMW X3,,36004999,20330,Lost,Lead process completed
Volkswagen,Jetta,SEL,2021,2021 Volkswagen Jetta,,39224657,241,Sold,Delivered
Honda,Ridgeline,RTL,2020,2020 Honda Ridgeline,,34990147,20250,Sold,Delivered
Honda,Accord,EX-L 1.5T,2021,2021 Honda Accord,,36104089,20250,Lost,Lead process completed
Honda,CR-V,EX-L,2020,2020 Honda CR-V,,39131864,762,Sold,Delivered
Honda,CR-V,EX-L,2020,2020 Honda CR-V,,41539130,762,Sold,Delivered
TOYOTA,Highlander Hybrid,,2021,2021 TOYOTA Highlander Hybrid,,37158077,58,Active,Sold
Honda,Civic,LX,2021,2021 Honda Civic,,36472715,20250,Active,Active Lead
Honda,CR-V,EX,2020,2020 Honda CR-V,,36381888,762,Sold,Delivered
Honda,CR-V Hybrid,EX,2021,2021 Honda CR-V Hybrid,,35041955,748,Active,Active Lead
Honda,CR-V,EX,2021,2021 Honda CR-V,,36477789,748,Lost,Lead process completed
Toyota,Tacoma,SR5,2021,2021 Toyota Tacoma,,36333232,6,Bad,Shopping out of area
Honda,CR-V,Touring,2021,2021 Honda CR-V,,36019784,20250,Sold,Delivered
Honda,CR-V,Touring,2021,2021 Honda CR-V,,36031095,20250,Sold,Delivered
,,,,  ,,36004736,20250,Lost,Lead process completed
Toyota,Camry,LE Auto (Natl),2020,2020 Toyota Camry,,40965729,58,Active,Sold
BMW,3 Series,328i,2014,2014 BMW 3 Series,,36395015,241,Lost,Lead process completed
Hyundai,Sonata,SEL 2.4L,2018,2018 Hyundai Sonata,,36828265,48,Active,Sold
Hyundai,Tucson,SE AWD,2019,2019 Hyundai Tucson,,35823246,48,Active,Sold
Honda,Accord Sedan,4dr I4 CVT LX,2015,2015 Honda Accord Sedan,,39173771,58,Active,Sold
,,,,  ,,36038342,241,Lost,Lead process completed
Honda,Civic,LX,2020,2020 Honda Civic,,36025564,762,Sold,Delivered
,,,,  ,,40433719,6,Lost,Lead process completed
,,,,  ,,36450794,6,Lost,Lead process completed
Lexus,RX 350,RX 350,2017,2017 Lexus RX 350,,36205252,20200,Sold,Delivered
,,,,  ,,35423883,230,Active,Active Lead
,,,,  ,,41768142,20200,Sold,Delivered
Mercedes-Benz,A,A 220,2019,2019 Mercedes-Benz A,,36449748,230,Sold,Delivered
Honda,Odyssey,,2017,2017 Honda Odyssey,,35883777,20250,Sold,Delivered
Toyota,4Runner,Venture,2021,2021 Toyota 4Runner,,36026209,6,Sold,Delivered
BMW,X7,,2021,2021 BMW X7,,37148683,20330,Sold,On Order
Honda,CR-V,EX-L w/Navigation,2014,2014 Honda CR-V,,36444024,20250,Sold,Delivered
Kia,Optima,,, Kia Optima,,40445494,20490,Sold,Delivered
Kia,Optima,,, Kia Optima,,40636641,724,Sold,Delivered
,,,,  ,,37649206,751,Sold,Delivered
,,,,  ,,41552631,766,Sold,Delivered
Honda,CR-V,EX,2021,2021 Honda CR-V,,35071681,20250,Sold,Delivered
Toyota,Tundra 4WD,SR5 CrewMax 5.5' Bed 5.7L (Natl),2017,2017 Toyota Tundra 4WD,,39180198,58,Active,Lost
BMW,M4,2dr Conv,2016,2016 BMW M4,,39159123,183,Active,Lost
Honda,CR-V,EX,2020,2020 Honda CR-V,,35902168,762,Sold,Delivered
RAM,3500,Tradesman,2020,2020 RAM 3500,,36357545,339,Lost,Lead process completed
Honda,CR-V,EX-L,2021,2021 Honda CR-V,,36384097,20250,Sold,Delivered
Toyota,Prius,5dr HB Three (Natl),2016,2016 Toyota Prius,,39202002,58,Active,Sold
Toyota,Prius,5dr HB Three (Natl),2016,2016 Toyota Prius,,39110277,58,Active,Sold
Toyota,RAV4,Sport,2010,2010 Toyota RAV4,,39133651,762,Bad,Duplicate lead
Honda,HR-V,LX,2019,2019 Honda HR-V,,41928164,748,Active,Active Lead
Toyota,Prius Prime,Advanced (Natl),2019,2019 Toyota Prius Prime,,39121156,58,Active,Sold
Toyota,Sequoia,TRD Sport 4WD (Natl),2021,2021 Toyota Sequoia,,41665593,58,Active,Lost
,,,,  ,,40578299,6,Lost,Lead process completed
,,,,  ,,40482383,6,Active,Active Lead
Honda,Ridgeline,RTL-E,2021,2021 Honda Ridgeline,,36474383,20250,Sold,Delivered
Honda,Passport,,2021,2021 Honda Passport,,36177329,20250,Sold,Delivered
Subaru,Crosstrek,Sport,2021,2021 Subaru Crosstrek,,35314120,751,Sold,Delivered
Toyota,RAV4,LE,2021,2021 Toyota RAV4,,34912681,6,Sold,Delivered
,,,,  ,,41534449,184,Active,Lost
,,,,  ,,41264213,184,Active,Lost
Honda,Passport,EX-L,2021,2021 Honda Passport,,36433823,20250,Sold,Delivered
Honda,Passport,EX-L,2021,2021 Honda Passport,,36358853,20250,Sold,Delivered
,,,,  ,,39101864,301,Lost,Lead process completed
Honda,Civic Hatchback,Sport Touring,2021,2021 Honda Civic Hatchback,,39128396,762,Sold,Delivered
Honda,Accord Sedan,Touring,2021,2021 Honda Accord Sedan,,36160310,762,Lost,Lead process completed
,,,,  ,,37618523,48,Active,Unqualified
,,,,  ,,36195548,48,Active,Unqualified
HYUNDAI,Palisade,Limited AWD,2021,2021 HYUNDAI Palisade,,36268628,48,Active,Sold
,,,,  ,,35984698,48,Active,Up/Contacted
Nissan,Armada,SL,2019,2019 Nissan Armada,,36671655,20250,Sold,Delivered
Hyundai,Elantra,SE IVT,2021,2021 Hyundai Elantra,,37108580,48,Active,Unqualified
Hyundai,Santa Fe,SEL AWD,2021,2021 Hyundai Santa Fe,,36016261,48,Active,Up/Contacted
Hyundai,Santa Fe,SE 2.4L Auto AWD,2020,2020 Hyundai Santa Fe,,36143392,48,Active,Up/Contacted
,,,,  ,,35965844,48,Active,Store Visit
Hyundai,Tucson,AWD 4dr Limited,2016,2016 Hyundai Tucson,,36507857,48,Active,Unqualified
Hyundai,Elantra,SEL IVT SULEV,2021,2021 Hyundai Elantra,,36216915,48,Active,Up/Contacted
Honda,Odyssey,Touring,2022,2022 Honda Odyssey,,39126643,20250,Lost,Lead process completed
Honda,HR-V,Sport,2020,2020 Honda HR-V,,35897164,20250,Sold,Delivered
Hyundai,Sonata,SE 2.5L,2021,2021 Hyundai Sonata,,36276766,48,Active,Up/Contacted
JEEP,PATRIOT,4WD 4dr Sport,2016,2016 JEEP PATRIOT,,34967284,48,Active,Sold
Hyundai,Kona,SEL Plus Auto AWD,2020,2020 Hyundai Kona,,35846375,48,Active,Up/Contacted
Hyundai,Santa Fe Sport,2.4L Auto AWD,2018,2018 Hyundai Santa Fe Sport,,36302157,48,Active,Up/Contacted
,,,,  ,,40665982,719,Lost,Lead process completed
Chrysler,200,4dr Sdn Limited,2013,2013 Chrysler 200,,35766994,48,Active,Sold
Chrysler,200,4dr Sdn Limited,2013,2013 Chrysler 200,,36939133,48,Active,Sold
Hyundai,Elantra,ECO DCT,2020,2020 Hyundai Elantra,,36716258,48,Active,Up/Contacted
Toyota,Highlander,FWD 4dr V6 Base (Natl),2010,2010 Toyota Highlander,,36305144,48,Active,Up/Contacted
,,,,  ,,35949976,48,Active,Up/Contacted
Honda,CR-V,AWD 5dr LX,2014,2014 Honda CR-V,,36073889,48,Active,Up/Contacted
Honda,Civic Sedan,EX,2018,2018 Honda Civic Sedan,,36575801,20250,Sold,Pending Finance
Hyundai,Santa Fe,SEL 2.0T Auto AWD,2020,2020 Hyundai Santa Fe,,35163629,48,Active,Up/Contacted
Hyundai,Sonata Hybrid,Blue 2.0L,2021,2021 Hyundai Sonata Hybrid,,36453461,48,Active,Up/Contacted
Hyundai,Tucson,Sport AWD,2021,2021 Hyundai Tucson,,36289067,48,Active,Up/Contacted
Hyundai,Elantra,Value Edition 2.0L Auto (Alabama),2017,2017 Hyundai Elantra,,36298199,48,Active,Demo Vehicle
Hyundai,Accent,SE Sedan Auto,2017,2017 Hyundai Accent,,36319019,48,Active,Sold
Honda,Civic Sedan,LX,2017,2017 Honda Civic Sedan,,35277178,20250,Sold,Delivered
Hyundai,Elantra,SEL IVT SULEV,2021,2021 Hyundai Elantra,,36138385,48,Active,Write Up
,,,,  ,,36078253,48,Active,Lost
Hyundai,Palisade,SEL AWD,2021,2021 Hyundai Palisade,,35197526,48,Active,Sold
Hyundai,Sonata,SEL 2.5L,2021,2021 Hyundai Sonata,,36183732,48,Active,Up/Contacted
Hyundai,Tucson,SE AWD,2020,2020 Hyundai Tucson,,36482604,48,Active,Up/Contacted
,,,,  ,,41650469,48,Active,Up/Contacted
Hyundai,Tucson,SEL AWD,2022,2022 Hyundai Tucson,,36010274,48,Active,Up/Contacted
Hyundai,Santa Fe,SE 2.4L Auto AWD,2020,2020 Hyundai Santa Fe,,36557585,48,Active,Sold
