WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
Nissan,Murano,2WD 4dr SV,2011,2011 Nissan Murano,,35885296,58,Active,Sold
Porsche,Cayenne,Turbo Coupe AWD,2021,2021 Porsche Cayenne,,35880157,184,Active,Pending F&I
Toyota,Highlander,XSE FWD (Natl),2021,2021 Toyota Highlander,,35879048,58,Active,Lost
,,,,  ,,35878294,769,Sold,Delivered
BMW,X5,AWD 4dr xDrive35d,2015,2015 BMW X5,,35878263,183,Active,Sold
Porsche,Cayenne,S AWD,2017,2017 Porsche Cayenne,,35869985,184,Active,Write Up
,,,,  ,,35868716,769,Sold,Delivered
Ford,F-150,"4WD SuperCrew 145"" XLT",2011,2011 Ford F-150,,35868327,58,Active,Sold
Toyota,Avalon,4dr Sdn Limited (Natl),2008,2008 Toyota Avalon,,35867137,58,Active,Sold
Toyota,Camry,LE Auto (Natl),2021,2021 Toyota Camry,,35864845,58,Active,Sold
,,,,  ,,35864492,20271,Bad,Bad or no contact information
TOYOTA,COROLLA,,2021,2021 TOYOTA COROLLA,,35862444,58,Active,Sold
,,,,  ,,35920527,769,Sold,Delivered
,,,,  ,,35919313,766,Bad,No intent to buy
,,,,  ,,35916641,301,Bad,Duplicate lead
Toyota,RAV4,TRD Off Road AWD (Natl),2020,2020 Toyota RAV4,,35915551,58,Active,Sold
TOYOTA,TACOMA,,2021,2021 TOYOTA TACOMA,,35915531,58,Active,Sold
,,,,  ,,35911814,769,Lost,Lead process completed
,,,,  ,,35910273,769,Sold,Delivered
,,,,  ,,35903304,184,Active,Demo Vehicle
,,,,  ,,35902569,301,Bad,Duplicate lead
,,,,  ,,35896200,20271,Bad,No intent to buy
,,,,  ,,35893408,58,Active,Lost
Chevrolet,Sonic,4dr Sdn Manual LT,2014,2014 Chevrolet Sonic,,35893273,58,Active,Sold
,,,,  ,,35890836,184,Active,Demo Vehicle
Toyota,Corolla,4dr Sdn CVT LE (Natl),2015,2015 Toyota Corolla,,35887739,58,Active,Sold
TOYOTA,4RUNNER,,2020,2020 TOYOTA 4RUNNER,,35885379,58,Active,Sold
Jeep,Patriot,4WD 4dr Sport,2016,2016 Jeep Patriot,,35947313,58,Active,Sold
Toyota,Tundra 4WD,Limited CrewMax 5.5' Bed 5.7L (Natl),2020,2020 Toyota Tundra 4WD,,35947082,58,Active,Sold
Toyota,Corolla,LE CVT (Natl),2019,2019 Toyota Corolla,,35942299,58,Active,Sold
,,,,  ,,35939617,769,Sold,Delivered
Porsche,911,Carrera Coupe,2018,2018 Porsche 911,,35938748,184,Active,Lost
Toyota,Sienna,5dr 8-Pass Van XLE FWD (Natl),2016,2016 Toyota Sienna,,35935180,58,Active,Sold
